名称,命途,模式,TAG,效果,版本
感知：季风的故事,记忆,千面英雄,,强化前：我方全体目标造成的伤害提高10%，忆灵额外提高4%。强化后：我方全体目标造成的伤害提高15%，忆灵额外提高6%。,3.1
感知：岩石的故事,记忆,千面英雄,,强化前：我方全体目标防御力提高14%，忆灵额外提高6%。强化后：我方全体目标防御力提高21%，忆灵额外提高9%。,3.1
感知：潮汐的故事,记忆,千面英雄,,强化前：我方全体目标回复量提高10%，忆灵额外提高4%。强化后：我方全体目标回复量提高15%，忆灵额外提高6%。,3.1
感知：锋刃的温度,记忆,千面英雄,,强化前：我方全体目标攻击力提高18%。强化后：我方全体目标攻击力提高27%。,3.1
感知：赤骨与红叶,记忆,千面英雄,,强化前：忆灵行动后，我方全体目标暴击率提高14%，持续2回合。强化后：忆灵行动后，我方全体目标暴击率提高21%，持续2回合。,3.1
感知：兽爪的形状,记忆,千面英雄,,强化前：我方全体目标造成的伤害提高12%。强化后：我方全体目标造成的伤害提高18%。,3.1
感知：白发与珍珠,记忆,千面英雄,,强化前：忆灵行动后，我方全体目标暴击伤害提高24%，持续2回合。强化后：忆灵行动后，我方全体目标暴击伤害提高36%，持续2回合。,3.1
感知：螺壳的纹理,记忆,千面英雄,,强化前：我方全体目标防御力提高16%。强化后：我方全体目标防御力提高24%。,3.1
漠视主义,虚无,人间喜剧,增伤,强化前：角色造成的持续伤害提高24%。强化后：角色造成的持续伤害提高36%。,2.3
拟像崩解,虚无,人间喜剧,攻击力,强化前：角色攻击力提高18%。强化后：角色攻击力提高27%。,2.3
盲目视界,虚无,人间喜剧,效果抵抗降低,强化前：敌方目标效果抵抗降低12%。强化后：敌方目标效果抵抗降低18%。,1.0
悲剧讲座,虚无,人间喜剧,易伤,强化前：敌方目标受到的持续伤害提高10%。强化后：敌方目标受到的持续伤害提高15%。,1.0
自我呈现,虚无,人间喜剧,减防,强化前：处于弱点击破状态下的敌方目标，防御力降低15%。强化后：处于弱点击破状态下的敌方目标，防御力降低20%。,2.3
情绪舍离,虚无,人间喜剧,易伤,强化前：敌方目标每承受1个持续伤害状态，受到的伤害提高3%，该效果最多叠加4层。强化后：敌方目标每承受1个持续伤害状态，受到的伤害提高4%，该效果最多叠加5层。,1.0
虚妄供品,虚无,人间喜剧,生命回复,强化前：敌方目标每受到1次持续伤害，我方全体回复等同于各自1.0%生命上限的生命值。强化后：敌方目标每受到1次持续伤害，我方全体回复等同于各自1.5%生命上限的生命值。,1.0
日出之前,虚无,人间喜剧,能量恢复,强化前：敌方目标每受到1次持续伤害，我方随机目标恢复2.0点能量，敌方目标每回合最多触发20次该效果。强化后：敌方目标每受到1次持续伤害，我方随机目标恢复3.0点能量，敌方目标每回合最多触发20次该效果。,1.0
超越善恶,虚无,千面英雄,,强化前：我方目标施加负面状态后，速度提高10%，持续3回合。强化后：我方目标施加负面状态后，速度提高15%，持续3回合。,3.1
无存在者,虚无,千面英雄,,强化前：我方目标效果命中提高24%。强化后：我方目标效果命中提高36%。,3.1
他者之死,虚无,千面英雄,,强化前：敌方目标每受到1次持续伤害，我方随机目标恢复1点能量，敌方目标每回合最多触发20次该效果。强化后：敌方目标每受到1次持续伤害，我方随机目标恢复1.5点能量，敌方目标每回合最多触发20次该效果。,3.1
疾病致死,虚无,千面英雄,,强化前：敌方目标效果抵抗降低12%。强化后：敌方目标效果抵抗降低18%。,3.1
不敬神明,虚无,千面英雄,,强化前：敌方目标受到的持续伤害提高10%。强化后：敌方目标受到的持续伤害提高15%。,3.1
内在体验,虚无,千面英雄,,强化前：我方目标施加负面状态后，攻击力提高24%，持续2回合。强化后：我方目标施加负面状态后，攻击力提高36%，持续2回合。,3.1
黑色太阳,虚无,千面英雄,,强化前：持有持续伤害状态的敌方目标，受到的伤害提高8%。强化后：持有持续伤害状态的敌方目标，受到的伤害提高12%。,3.1
活的隐喻,虚无,千面英雄,,强化前：我方目标造成的持续伤害提高24%。强化后：我方目标造成的持续伤害提高36%。,3.1
法雨,丰饶,人间喜剧,生命值,强化前：角色回复的生命值溢出时，生命上限提高24%，持续1回合。强化后：角色回复的生命值溢出时，生命上限提高36%，持续1回合。,1.0
甘露,丰饶,人间喜剧,生命值回复量,强化前：角色的生命值回复量提高12%。强化后：角色的生命值回复量提高18%。,1.0
延寿,丰饶,人间喜剧,生命回复,强化前：角色在战斗中生命值百分比首次小于50%时，回复等同于生命上限30%的生命值。强化后：角色在战斗中生命值百分比首次小于50%时，回复等同于生命上限45%的生命值。,1.0
愿印,丰饶,人间喜剧,生命回复,强化前：角色击破敌方目标弱点后，回复等同于生命上限16%的生命值。强化后：角色击破敌方目标弱点后，回复等同于生命上限24%的生命值。,1.0
禳灾,丰饶,人间喜剧,防御力,强化前：角色接受治疗后，防御力提高24%，持续1回合。强化后：角色接受治疗后，防御力提高36%，持续1回合。,1.0
回生,丰饶,人间喜剧,生命回复,强化前：角色提供治疗后，回复等同于自身生命上限12%的生命值，该效果每次行动只可触发1次。强化后：角色提供治疗后，回复等同于自身生命上限18%的生命值，该效果每次行动只可触发1次。,1.0
胜军,丰饶,人间喜剧,速度,强化前：角色接受治疗后，速度提高10%，持续1回合。强化后：角色接受治疗后，速度提高15%，持续1回合。,1.0
灌顶,丰饶,人间喜剧,效果减免,强化前：角色回复的生命值溢出时，有25%的固定概率解除1个自身的负面效果，该效果每回合最多触发1次。强化后：角色回复的生命值溢出时，有25%的固定概率解除1个自身的负面效果，该效果每回合最多触发2次。,2.3
彤弓素矰,巡猎,人间喜剧,速度,强化前：角色速度提高8%。强化后：角色速度提高12%。,1.0
背生击死,巡猎,人间喜剧,暴击率,强化前：角色暴击率提高11%。强化后：角色暴击率提高16%。,1.0
背孤击虚,巡猎,人间喜剧,暴击伤害,强化前：角色暴击伤害提高20%。强化后：角色暴击伤害提高30%。,1.0
雷车动地,巡猎,人间喜剧,行动延后,强化前：角色击破敌方目标弱点后，使其行动延后20%。强化后：角色击破敌方目标弱点后，使其行动延后30%。,1.0
电射牛斗,巡猎,人间喜剧,速度,强化前：角色击破敌方目标弱点后，速度提高30%，持续至受到攻击后。强化后：角色击破敌方目标弱点后，速度提高45%，持续至受到攻击后。,1.0
天棓步危,巡猎,人间喜剧,行动提前,强化前：角色回合结束时，行动提前8%。强化后：角色回合结束时，行动提前12%。,1.0
桑弧蓬矢,巡猎,人间喜剧,能量恢复,强化前：角色回合开始时，恢复4点能量。强化后：角色回合开始时，恢复6点能量。,1.0
乌号綦箭,巡猎,人间喜剧,攻击力,强化前：角色回合开始时，提高等同于上一个行动的我方目标10%当前攻击力的攻击力，持续至下个回合开始时。强化后：角色回合开始时，提高等同于上一个行动的我方目标15%当前攻击力的攻击力，持续至下个回合开始时。,1.0
卷手一挃,巡猎,千面英雄,,强化前：消灭敌方目标后，我方全体攻击力提高6%，最多叠加4次。强化后：消灭敌方目标后，我方全体攻击力提高9%，最多叠加4次。,3.1
矢摧月支,巡猎,千面英雄,,强化前：我方目标回合结束时，行动提前6%。强化后：我方目标回合结束时，行动提前9%。,3.1
排檠则正,巡猎,千面英雄,,强化前：我方目标速度提高6%。强化后：我方目标速度提高9%。,3.1
壁上雷鸣,巡猎,千面英雄,,强化前：我方目标回合开始时，恢复3点能量。强化后：我方目标回合开始时，恢复4点能量。,3.1
百夫决拾,巡猎,千面英雄,,强化前：我方目标暴击率提高11%。强化后：我方目标暴击率提高16%。,3.1
青枝朱弦,巡猎,千面英雄,,强化前：消灭敌方目标后，我方全体速度提高4%，最多叠加2次。强化后：消灭敌方目标后，我方全体速度提高6%，最多叠加2次。,3.1
昭质既设,巡猎,千面英雄,,强化前：我方目标暴击伤害提高20%。强化后：我方目标暴击伤害提高30%。,3.1
秋月行天,巡猎,千面英雄,,强化前：消灭敌方目标后，为我方全体目标回复等同于生命值上限30%的生命值。强化后：消灭敌方目标后，为我方全体目标回复等同于生命值上限45%的生命值。,3.1
突裂奇点,毁灭,人间喜剧,击破特攻,强化前：角色击破特攻提高50%。强化后：角色击破特攻提高75%。,2.3
回光效应,毁灭,人间喜剧,复活,强化前：角色受到致命攻击时不会陷入无法战斗状态，并使当前生命值立即回复至自身生命上限的1%。该效果我方全体单场战斗中只能触发1次。强化后：角色受到致命攻击时不会陷入无法战斗状态，并使当前生命值立即回复至自身生命上限的30%。该效果我方全体单场战斗中只能触发1次。,1.0
轨道红移,毁灭,人间喜剧,生命值,强化前：角色生命上限提高16%。强化后：角色生命上限提高24%。,1.0
类星喷流,毁灭,人间喜剧,易伤,强化前：敌方目标受到的击破伤害提高24%。强化后：敌方目标受到的击破伤害提高36%。,2.3
储备度规,毁灭,人间喜剧,护盾,强化前：进入战斗时，角色消耗自身生命值至生命上限的50%，并获得能够抵消等同于已损失生命值100%伤害的护盾，持续3回合。强化后：进入战斗时，角色消耗自身生命值至生命上限的50%，并获得能够抵消等同于已损失生命值150%伤害的护盾，持续3回合。,1.0
哨戒卫星,毁灭,人间喜剧,护盾,强化前：当角色当前生命值百分比小于50%时，获得能够抵消等同于自身生命上限20%伤害的护盾，持续2回合，该效果每名角色单场战斗中只能触发1次。强化后：当角色当前生命值百分比小于50%时，获得能够抵消等同于自身生命上限30%伤害的护盾，持续2回合，该效果每名角色单场战斗中只能触发1次。,1.0
偏振受体,毁灭,人间喜剧,防御力,强化前：角色损失或治疗自身生命值后，防御力提高30%，持续至下回合开始时。强化后：角色损失或治疗自身生命值后，防御力提高45%，持续至下回合开始时。,1.0
永坍缩体,毁灭,人间喜剧,效果抵抗提高,强化前：角色损失或治疗自身生命值后，效果抵抗提高16%，持续至下回合开始时。强化后：角色损失或治疗自身生命值后，效果抵抗提高24%，持续至下回合开始时。,2.3
相接双星,毁灭,千面英雄,,强化前：我方目标生命上限提高16%。强化后：我方目标生命上限提高24%。,3.1
绝对星等,毁灭,千面英雄,,强化前：我方目标回复量提高12%。强化后：我方目标回复量提高18%。,3.1
标准烛光,毁灭,千面英雄,,强化前：我方目标获得的护盾量提高12%。强化后：我方目标获得的护盾量提高18%。,3.1
传质次星,毁灭,千面英雄,,强化前：我方目标生命值或护盾量降低后，生命上限提高20%，持续2回合。强化后：我方目标生命值或护盾量降低后，生命上限提高30%，持续2回合。,3.1
双极喷流,毁灭,千面英雄,,强化前：我方目标受到的伤害降低6%。强化后：我方目标受到的伤害降低9%。,3.1
互食联星,毁灭,千面英雄,,强化前：我方目标生命值或护盾量降低后，效果抵抗提高16%，持续2回合。强化后：我方目标生命值或护盾量降低后，效果抵抗提高24%，持续2回合。,3.1
双瓣结构,毁灭,千面英雄,,强化前：我方目标效果抵抗提高12%。强化后：我方目标效果抵抗提高18%。,3.1
新星爆发,毁灭,千面英雄,,强化前：角色受到致命攻击时不会陷入无法战斗状态，并使当前生命值立即回复至自身生命上限的20%。该效果我方全体单场战斗中只能触发1次。强化后：角色受到致命攻击时不会陷入无法战斗状态，并使当前生命值立即回复至自身生命上限的100%。该效果我方全体单场战斗中只能触发1次。,3.1
《看那些愚者》,欢愉,人间喜剧,暴击伤害,强化前：角色造成的追加攻击暴击伤害提高44%。强化后：角色造成的追加攻击暴击伤害提高66%。,2.3
《基本有害》,欢愉,人间喜剧,弱点击破效率,强化前：角色造成追加攻击伤害时的弱点击破效率提高35%。强化后：角色造成追加攻击伤害时的弱点击破效率提高50%。,1.0
《阴风阵阵》,欢愉,人间喜剧,增伤,强化前：角色造成的追加攻击伤害提高26%。强化后：角色造成的追加攻击伤害提高39%。,1.0
《灰暗的火》,欢愉,人间喜剧,暴击率,强化前：角色造成的追加攻击伤害暴击率提高26%。强化后：角色造成的追加攻击伤害暴击率提高39%。,1.0
《回灯塔去》,欢愉,人间喜剧,能量恢复,强化前：角色发动追加攻击时，恢复6点能量，该效果每回合最多触发1次。强化后：角色发动追加攻击时，恢复8点能量，该效果每回合最多触发1次。,1.0
《奇爱医生》,欢愉,人间喜剧,生命回复,强化前：角色发动追加攻击后，回复等同于自身生命上限10%的生命值。强化后：角色发动追加攻击后，回复等同于自身生命上限15%的生命值。,1.0
《铂金时代》,欢愉,人间喜剧,防御力,强化前：角色发动追加攻击后，防御力提高40%，持续1回合。强化后：角色发动追加攻击后，防御力提高40%，持续2回合。,1.0
《发条苹果》,欢愉,人间喜剧,速度,强化前：角色发动追加攻击后，速度提高16%，持续1回合。强化后：角色发动追加攻击后，速度提高16%，持续2回合。,1.0
《迷幻停车场》,欢愉,千面英雄,,强化前：我方目标造成的追加攻击伤害和附加伤害，暴击伤害提高30%。强化后：我方目标造成的追加攻击伤害和附加伤害，暴击伤害提高45%。,3.1
《死神骑车来》,欢愉,千面英雄,,强化前：我方目标发动追加攻击后，我方全体目标防御力提高20%，持续2回合。强化后：我方目标发动追加攻击后，我方全体目标防御力提高30%，持续2回合。,3.1
《点恋线》,欢愉,千面英雄,,强化前：我方目标发动追加攻击后，我方全体目标攻击力提高20%，持续2回合。强化后：我方目标发动追加攻击后，我方全体目标攻击力提高30%，持续2回合。,3.1
《猫镇》,欢愉,千面英雄,,强化前：我方目标发动追加攻击后，我方全体目标速度提高8%，持续2回合。强化后：我方目标发动追加攻击后，我方全体目标速度提高12%，持续2回合。,3.1
《欧米茄城》,欢愉,千面英雄,,强化前：我方目标造成的追加攻击伤害和附加伤害提高30%。强化后：我方目标造成的追加攻击伤害和附加伤害提高45%。,3.1
《暴力先生》,欢愉,千面英雄,,强化前：我方目标造成的追加攻击伤害和附加伤害，暴击率提高18%。强化后：我方目标造成的追加攻击伤害和附加伤害，暴击率提高27%。,3.1
《遗世避难所》,欢愉,千面英雄,,强化前：我方目标发动追加攻击后，恢复6点能量，该效果每回合最多触发1次。强化后：我方目标发动追加攻击后，恢复8点能量，该效果每回合最多触发1次。,3.1
《灰币金黄》,欢愉,千面英雄,,强化前：我方目标发动追加攻击后，回复等同于自身生命上限10%的生命值。强化后：我方目标发动追加攻击后，回复等同于自身生命上限15%的生命值。,3.1
骨刃,繁育,人间喜剧,增伤,强化前：角色造成的普攻伤害提高24%。强化后：角色造成的普攻伤害提高36%。,1.3
脊刺,繁育,人间喜剧,暴击率,强化前：角色造成的普攻伤害暴击率提高24%。强化后：角色造成的普攻伤害暴击率提高36%。,1.3
槽针,繁育,人间喜剧,暴击伤害,强化前：角色造成的普攻伤害暴击伤害提高40%。强化后：角色造成的普攻伤害暴击伤害提高60%。,1.3
结膜,繁育,人间喜剧,防御力,强化前：角色施放普攻后，防御力提高40%，持续1回合。强化后：角色施放普攻后，防御力提高40%，持续2回合。,1.3
鳞翅,繁育,人间喜剧,速度,强化前：角色施放普攻后，速度提高16%，持续1回合。强化后：角色施放普攻后，速度提高16%，持续2回合。,1.3
复眼,繁育,人间喜剧,战技点,强化前：进入战斗后，我方单体行动后恢复1个战技点，该效果我方全体最多触发3次。强化后：进入战斗后，我方单体行动后恢复1个战技点，该效果我方全体最多触发5次。,1.3
孢夹,繁育,人间喜剧,能量恢复,强化前：角色每消耗1个战技点，该角色额外恢复3点能量。强化后：角色每消耗1个战技点，该角色额外恢复4点能量。,1.3
液囊,繁育,人间喜剧,生命回复,强化前：角色每消耗1个战技点，回复等同于其生命上限10%的生命值。强化后：角色每消耗1个战技点，回复等同于其生命上限15%的生命值。,1.3
厚垣,繁育,千面英雄,,强化前：我方目标消耗战技点时，防御力提高30%，持续1回合强化后：我方目标消耗战技点时，防御力提高45%，持续1回合,3.1
跗节,繁育,千面英雄,,强化前：我方目标消耗战技点时，速度提高8%，持续2回合强化后：我方目标消耗战技点时，速度提高12%，持续2回合,3.1
蕈托,繁育,千面英雄,,强化前：我方目标消耗战技点时，有20%固定概率恢复1个战技点。强化后：我方目标消耗战技点时，有30%固定概率恢复1个战技点。,3.1
唇须,繁育,千面英雄,,强化前：我方目标消耗战技点时，恢复2点能量。强化后：我方目标消耗战技点时，恢复3点能量。,3.1
悬丝,繁育,千面英雄,,强化前：我方目标施放普攻、战技时造成的伤害提高30%。强化后：我方目标施放普攻、战技时造成的伤害提高45%。,3.1
芽殖,繁育,千面英雄,,强化前：我方目标消耗战技点时，回复等同于10%生命上限的生命值。强化后：我方目标消耗战技点时，回复等同于15%生命上限的生命值。,3.1
眼斑,繁育,千面英雄,,强化前：我方目标施放普攻、战技时造成的暴击伤害提高30%。强化后：我方目标施放普攻、战技时造成的暴击伤害提高45%。,3.1
背翼,繁育,千面英雄,,强化前：我方目标施放普攻、战技时造成的暴击率提高16%。强化后：我方目标施放普攻、战技时造成的暴击率提高24%。,3.1
齿轮啮合的王座,智识,人间喜剧,增伤,强化前：角色造成的终结技伤害提高18%。强化后：角色造成的终结技伤害提高27%。,1.6
导线弯绕的指环,智识,人间喜剧,暴击率,强化前：角色造成的终结技伤害暴击率提高18%。强化后：角色造成的终结技伤害暴击率提高27%。,1.6
能量变矩的权杖,智识,人间喜剧,暴击伤害,强化前：角色造成的终结技伤害暴击伤害提高30%。强化后：角色造成的终结技伤害暴击伤害提高45%。,1.6
偏时引燃的炬火,智识,人间喜剧,增伤,强化前：角色施放终结技后的下一次攻击造成的伤害提高50%。强化后：角色施放终结技后的下一次攻击造成的伤害提高75%。,1.6
离子推进的宝剑,智识,人间喜剧,攻击力,强化前：角色施放终结技时，使攻击力提高24%，持续2回合。强化后：角色施放终结技时，使攻击力提高36%，持续2回合。,2.3
钢铁熔铸的绶带,智识,人间喜剧,生命值,强化前：角色施放攻击后，每攻击一名敌方目标，使生命上限提高5.0%，最多叠加5次，持续至下回合开始时。强化后：角色施放攻击后，每攻击一名敌方目标，使生命上限提高7.5%，最多叠加5次，持续至下回合开始时。,2.3
线圈编织的罗绮,智识,人间喜剧,生命回复,强化前：角色施放终结技后，回复等同于生命上限16%的生命值。强化后：角色施放终结技后，回复等同于生命上限24%的生命值。,1.6
管道交错的桂冠,智识,人间喜剧,复活,强化前：角色受到致命攻击时，不会陷入无法战斗状态，消耗自身所有能量，回复等同于消耗能量值百分比的50%的生命值，全队每场战斗只能触发1次。强化后：角色受到致命攻击时，不会陷入无法战斗状态，消耗自身所有能量，回复等同于消耗能量值百分比的100%的生命值，全队每场战斗只能触发1次。,1.6
安全擦除的舆图,智识,千面英雄,,强化前：我方目标造成的终结技伤害暴击伤害提高30%。强化后：我方目标造成的终结技伤害暴击伤害提高45%。,3.1
分区对齐的包裹,智识,千面英雄,,强化前：进入战斗时，恢复等同于能量上限30%的能量。强化后：进入战斗时，恢复等同于能量上限45%的能量。,3.1
宏块抹除的航路,智识,千面英雄,,强化前：我方目标施放终结技时，使攻击力提高24%，持续2回合。强化后：我方目标施放终结技时，使攻击力提高36%，持续2回合。,3.1
顺序写入的轨道,智识,千面英雄,,强化前：角色受到致命攻击时，不会陷入无法战斗状态，消耗自身所有能量，回复等同于消耗能量值百分比的50%的生命值，全队每场战斗只能触发1次。强化后：角色受到致命攻击时，不会陷入无法战斗状态，消耗自身所有能量，回复等同于消耗能量值百分比的100%的生命值，全队每场战斗只能触发1次。,3.1
晶体谐振的灯塔,智识,千面英雄,,强化前：我方目标施放终结技后，生命上限提高20%，持续2回合。强化后：我方目标施放终结技后，生命上限提高30%，持续2回合。,3.1
投影闪烁的旌旗,智识,千面英雄,,强化前：我方目标造成的终结技伤害提高18%。强化后：我方目标造成的终结技伤害提高27%。,3.1
光学导引的透镜,智识,千面英雄,,强化前：我方目标施放终结技后，回复等同于生命上限20%的生命值。强化后：我方目标施放终结技后，回复等同于生命上限30%的生命值。,3.1
固态存储的甲胄,智识,千面英雄,,强化前：我方目标造成的终结技伤害暴击率提高18%。强化后：我方目标造成的终结技伤害暴击率提高27%。,3.1
崭新乐想,同谐,千面英雄,,强化前：我方目标击破敌方目标弱点时，回复等同于自身生命上限24%的生命值。强化后：我方目标击破敌方目标弱点时，回复等同于自身生命上限36%的生命值。,3.1
宁静风暴,同谐,千面英雄,,强化前：我方目标击破特攻提高30%。强化后：我方目标击破特攻提高45%。,3.1
直行旋律,同谐,千面英雄,,强化前：我方目标击破敌方目标弱点时，速度提高12%，持续3回合。强化后：我方目标击破敌方目标弱点时，速度提高18%，持续3回合。,3.1
交叉节拍,同谐,千面英雄,,强化前：我方目标击破敌方目标弱点时，我方全体目标击破特攻提高40%，持续3回合。强化后：我方目标击破敌方目标弱点时，我方全体目标击破特攻提高60%，持续3回合。,3.1
自由调性,同谐,千面英雄,,强化前：敌方目标受到的击破伤害提高16%。强化后：敌方目标受到的击破伤害提高24%。,3.1
凝滞织体,同谐,千面英雄,,强化前：我方目标击破敌方目标弱点时，使其行动延后20%。强化后：我方目标击破敌方目标弱点时，使其行动延后30%。,3.1
厄运爵士,同谐,千面英雄,,强化前：处于弱点击破状态下的敌方目标，防御力降低15%。强化后：处于弱点击破状态下的敌方目标，防御力降低20%。,3.1
原始陈述,同谐,千面英雄,,强化前：我方目标造成的击破伤害提高8%。强化后：我方目标造成的击破伤害提高12%。,3.1
